name,time/op (ns/op),±
Gol/512x512x50-1-12,2.17236E+09,0%
Gol/512x512x50-2-12,1.37698E+09,1%
Gol/512x512x50-3-12,1.15908E+09,3%
Gol/512x512x50-4-12,1.07017E+09,3%
Gol/512x512x50-5-12,9.96766E+08,2%
Gol/512x512x50-6-12,9.41300E+08,0%
Gol/512x512x50-7-12,8.84393E+08,1%
Gol/512x512x50-8-12,8.42625E+08,0%
Gol/512x512x50-9-12,8.24918E+08,1%
Gol/512x512x50-10-12,7.87373E+08,1%
Gol/512x512x50-11-12,7.73747E+08,1%
Gol/512x512x50-12-12,7.71555E+08,1%
Gol/512x512x50-13-12,8.44234E+08,0%
Gol/512x512x50-14-12,8.29857E+08,0%
Gol/512x512x50-15-12,8.16213E+08,1%
Gol/512x512x50-16-12,8.08197E+08,1%
