name,time/op (ns/op),±
Gol/16x16x1000-1-12,3.84694E+07,6%
Gol/16x16x1000-2-12,3.04228E+07,3%
Gol/16x16x1000-3-12,3.31810E+07,7%
Gol/16x16x1000-4-12,3.18079E+07,4%
Gol/16x16x1000-5-12,3.27968E+07,2%
Gol/16x16x1000-6-12,3.40884E+07,11%
Gol/16x16x1000-7-12,3.28241E+07,8%
Gol/16x16x1000-8-12,3.65865E+07,37%
Gol/16x16x1000-9-12,3.39442E+07,2%
Gol/16x16x1000-10-12,3.39576E+07,4%
Gol/16x16x1000-11-12,3.43077E+07,3%
Gol/16x16x1000-12-12,3.38502E+07,3%
Gol/16x16x1000-13-12,3.41327E+07,1%
Gol/16x16x1000-14-12,3.43469E+07,6%
Gol/16x16x1000-15-12,3.36087E+07,3%
Gol/16x16x1000-16-12,3.35554E+07,4%
