name,time/op (ns/op),±
Gol/64x64x100-1-12,3.42788E+08,61%
Gol/64x64x100-2-12,4.27657E+07,3%
Gol/64x64x100-3-12,3.74198E+07,10%
Gol/64x64x100-4-12,3.42772E+07,3%
Gol/64x64x100-5-12,3.28757E+07,2%
Gol/64x64x100-6-12,3.08429E+07,2%
Gol/64x64x100-7-12,2.95250E+07,3%
Gol/64x64x100-8-12,2.96906E+07,5%
Gol/64x64x100-9-12,2.81492E+07,7%
Gol/64x64x100-10-12,2.88173E+07,13%
Gol/64x64x100-11-12,2.86768E+07,6%
Gol/64x64x100-12-12,2.77919E+07,8%
Gol/64x64x100-13-12,2.98669E+07,4%
Gol/64x64x100-14-12,2.80331E+07,6%
Gol/64x64x100-15-12,2.99513E+07,13%
Gol/64x64x100-16-12,2.88105E+07,10%
