name,time/op (ns/op),±
Gol/512x512x100-1-12,3.89271E+09,1%
Gol/512x512x100-2-12,2.22913E+09,1%
Gol/512x512x100-3-12,1.81689E+09,2%
Gol/512x512x100-4-12,1.67137E+09,2%
Gol/512x512x100-5-12,1.51518E+09,1%
Gol/512x512x100-6-12,1.40234E+09,1%
Gol/512x512x100-7-12,1.29157E+09,0%
Gol/512x512x100-8-12,1.20550E+09,1%
Gol/512x512x100-9-12,1.16183E+09,0%
Gol/512x512x100-10-12,1.09294E+09,0%
Gol/512x512x100-11-12,1.07962E+09,2%
Gol/512x512x100-12-12,1.06554E+09,0%
Gol/512x512x100-13-12,1.20996E+09,0%
Gol/512x512x100-14-12,1.17474E+09,0%
Gol/512x512x100-15-12,1.16434E+09,2%
Gol/512x512x100-16-12,1.13921E+09,1%
