name,time/op (ns/op),±
Gol/64x64x1000-1-12,2.26458E+09,32%
Gol/64x64x1000-2-12,3.55354E+08,5%
Gol/64x64x1000-3-12,3.03473E+08,1%
Gol/64x64x1000-4-12,2.68935E+08,2%
Gol/64x64x1000-5-12,2.36985E+08,2%
Gol/64x64x1000-6-12,2.15832E+08,1%
Gol/64x64x1000-7-12,2.02666E+08,1%
Gol/64x64x1000-8-12,1.95343E+08,2%
Gol/64x64x1000-9-12,1.87934E+08,3%
Gol/64x64x1000-10-12,1.77583E+08,1%
Gol/64x64x1000-11-12,1.94204E+08,4%
Gol/64x64x1000-12-12,1.79472E+08,4%
Gol/64x64x1000-13-12,2.07912E+08,2%
Gol/64x64x1000-14-12,1.87400E+08,1%
Gol/64x64x1000-15-12,1.86138E+08,6%
Gol/64x64x1000-16-12,1.85182E+08,4%
